symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
TRXUSD,0.00000000,0.000,0.00000000,0.06689000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
COTIUSD,-0.00350000,-7.071,0.04681011,0.04950000,0.04600000,201421.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04950000,0.04950000,0.04600000,301716.00000000,14123.35950000,1687750339464,1687836739464,97289,97311,23
VOXELUSD,0.00000000,0.000,0.14570000,0.14570000,0.14570000,10.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14570000,0.14570000,0.14570000,10.40000000,1.51528000,1687750264077,1687836664077,155421,155421,1
RLCUSD,-0.04800000,-3.532,1.34780669,1.32100000,1.31100000,15.20000000,0.00000000,0.00000000,0.00000000,0.00000000,1.35900000,1.35900000,1.31100000,68.80000000,92.72910000,1687750323124,1687836723124,69858,69860,3
BICOUSD,-0.00100000,-0.469,0.21208922,0.21300000,0.21200000,429.28000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21300000,0.21300000,0.21200000,471.33000000,99.96401000,1687750231582,1687836631582,100516,100517,2
API3USD,0.00000000,0.000,0.00000000,1.13300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750310872,1687836710872,-1,-1,0
ENSUSD,0.00000000,0.000,8.70000000,8.70000000,8.70000000,43.87000000,0.00000000,0.00000000,0.00000000,0.00000000,8.70000000,8.70000000,8.70000000,43.87000000,381.66900000,1687750268156,1687836668156,181834,181841,8
BNTUSD,0.00000000,0.000,0.00000000,0.33100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750243747,1687836643747,-1,-1,0
IMXUSD,0.01400000,1.964,0.73142468,0.71500000,0.72700000,4.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.71300000,0.74700000,0.71100000,1298.20000000,949.53552000,1687750409150,1687836809150,144416,144484,69
SPELLUSD,0.00000000,0.000,0.00000000,0.00077250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
JASMYUSD,0.00000000,0.000,0.00000000,0.00497800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1683339785359,1683426185359,-1,-1,0
FLOWUSD,-0.03400000,-6.538,0.49562618,0.52000000,0.48600000,93.66000000,0.00000000,0.00000000,0.00000000,0.00000000,0.52000000,0.52000000,0.48600000,130.65000000,64.75356000,1687750306799,1687836706799,71616,71617,2
GTCUSD,0.00000000,0.000,0.00000000,0.99600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1687750233624,1687836633624,-1,-1,0
THETAUSD,-0.01500000,-2.049,0.76662915,0.72000000,0.71700000,1.60000000,0.00000000,0.00000000,0.00000000,0.00000000,0.73200000,0.93500000,0.68100000,7610.60000000,5834.50780000,1687750423576,1687836823576,172352,172525,174
TFUELUSD,-0.00020000,-0.545,0.03669647,0.03670000,0.03650000,372.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03670000,0.03810000,0.03520000,13677.00000000,501.89760000,1687750343524,1687836743524,80139,80153,15
